ID,text,cue,emotion,emotion,cause
490, فكرة ان تقع حادثه مهولة  [MASK]   و خاصة ان تتستر مستشفى عن عدد ضحاياها,رعب,الخوف,Fear,تقع حادثه مهولة
491, فكرت  [MASK]   أننا على قدر تحمسنا لأى شئ لا نكمله لن يكتمل,فجأة,المفاجأة,Surprise,تحمسنا لأى شئ لا نكمله لن يكتمل
492, فما أن رأيت فندق الصفا وأنه لا يبعد عن الحرم أكثر من متر حتى شعرت ب [MASK]  ,سعادة,الفرح,Joy,لا يبعد عن الحرم أكثر من متر 
493, فندق كان  [MASK]   بالنسبة لي إنه مملكة سحرية صغيرة  في المنحدر الصخري المحاط بالفخامة,فاجأ,المفاجأة,Surprise,مملكة سحرية صغيرة  في المنحدر الصخري
494, فهل  [MASK]   من كتاب الله مثله على ما فيه من وعيد حق,خاف,الخوف,Fear,ما فيه من وعيد حق
495, في  هذه القصة يبدو جبران   [MASK]   على  مجتمعنا اللاإنساني  الذي  يأكل  فيه القوي  الضعيف,ساخط,الغضب,Anger,مجتمعنا اللاإنساني
496, في النهاية شيء  [MASK]   إن كتاب تمت الدعاية له بالملايين وهو لا يحتوي الا على خرافات,حزن,الحزن,Sadness,لا يحتوي الا على خرافات
497, في بضع سنين لله الأمر من قبل ومن بعد ويومئذ  [MASK]   المؤمنون,يفرح,الفرح,Joy,لله الأمر من قبل ومن بعد
498, في عالمنا  [MASK]   بأي شيء غير سطحي كالمنظمات التي قامت بتغيير وجه العالم,فاجأ,المفاجأة,Surprise,المنظمات التي قامت بتغيير وجه العالم
499, قال إني  [MASK]   أن تذهبوا به,حزن,الحزن,Sadness,أن تذهبوا به
500, قامت الكاتبة بتوظيف موهبتها بكتابة عمل مستهلك ويكرر نفسه بصورة  [MASK]  ,قزز,الاشمئزاز,Disgust,عمل مستهلك ويكرر نفسه
501, قبيل انتهاء أحداث المسلسل دخل آدم صومعة الإخوان  [MASK]  ,فجأة,المفاجأة,Surprise,دخل آدم صومعة الإخوان
502, قتل الخليفة هو الفصل الصادم في هذا الكتاب، قرأته وأنا  [MASK]   بعض الشيء,خوف,الخوف,Fear,قتل الخليفة
503, قتلت إبنها بعد ولادتها وهي تحاول اسكاته  [MASK]   من الفضيحة,خوف,الخوف,Fear,الفضيحة
504, قد  [MASK]   المرء ، لآنه قد فقد الحب,غضب,الغضب,Anger,فقد الحب
505, قد يشعر القارئ ب [MASK]   لأن شكري صور تشرد وبؤس السنوات العشرين التي عاشها كما هي,قزز,الاشمئزاز,Disgust,تشرد وبؤس السنوات العشرين
506, قرأت هذا الكتاب من فترة طويلة ....ثم [MASK]  ظهر أمامى اليوم ها هنا على الموقع,فجأة,المفاجأة,Surprise,ظهر أمامى اليوم ها هنا على الموقع
507, قرر الكاتب  [MASK]   أن يغير ما كان يميزه، وقرر أن يكتب رواية تاريخية,فجأة,المفاجأة,Surprise,أن يغير ما كان يميزه
508, قصة الحب  [MASK]   نفعية وجسديه، الشخصيات متناقضة وتفتقر الفضائل والأخلاق,قزز,الاشمئزاز,Disgust,الشخصيات متناقضة وتفتقر الفضائل والأخلاق
509, قصة جونثان  [MASK]  ني جدا، قصة الرجل الذي فقد كل شيء وقرر الاكتفاء فقط بالعيش كريما,حزن,الحزن,Sadness,قصة الرجل الذي فقد كل شيء
510, قصة حب راقية هادئة أحكمت خيوطها حولنا فصرنا أسراها بكل  [MASK] ,سعادة,الفرح,Joy,قصة حب راقية هادئة
511, قصة حب من اول نظرة اثمرت عن زواج  [MASK] ,سعيد,الفرح,Joy,قصة حب من اول نظرة
512, قصة رياض  [MASK]   كانت غير منسجمة ولا يتقبلها العقل لما فيها من التشتت و التمرجح,حزين,الحزن,Sadness,التشتت و التمرجح
513, قصة فايزة اثارت  [MASK]   بشكل فضيع خاصة الاسئلة التي تركت مفتوحة دون إجابة,اشمئزاز,الاشمئزاز,Disgust,الاسئلة التي تركت مفتوحة دون إجابة
514, قصة كانت مساحة الغربة فيها كلها  [MASK]   و بكاء دامي,حزن,الحزن,Sadness,مساحة الغربة
515, كاتب  [MASK]   لمجرد أن أحدا تجرأ و رد عليه ما طرحه في كتاب سابق,غاضب,الغضب,Anger,أن أحدا تجرأ و رد عليه
516, كاتب يحاول الحياد و يتطاول على الصحابة بطريقة  [MASK]   مثل كلامه عن أبي هريرة رضي الله عنه,قزز,الاشمئزاز,Disgust,يتطاول على الصحابة
517, كالعادة لم يلبث هذا السلام المزيف الا سنة واحدة حتى استحال الى  [MASK] ,غضب,الغضب,Anger,السلام المزيف
518, كان  [MASK]   تخبط عيسى بين المجتمعين و ضياعه بين الاديان,حزن,الحزن,Sadness,تخبط عيسى بين المجتمعين
519, كان آدم  [MASK]   بأشياء عجيبة كالتي كان يأتي بها أدهم صبري في مغامراته,فاجأ,المفاجأة,Surprise,أشياء عجيبة كالتي كان يأتي بها أدهم
520, كان أيضا في منتهى  [MASK]  عندما شرحت له وضعنا المزري,غضب,الغضب,Anger,وضعنا المزري
521, كان الطعام سيئ جدا وكانت اسرتي كلها  [MASK]   منه,قزز ,الاشمئزاز,Disgust,الطعام سيئ جدا
522, كان الطعام سيئا، وكانت أسرتي كلها  [MASK]   منه,قزز,الاشمئزاز,Disgust,الطعام سيئا
523, كان الموت أقرب لهم من الحياة في افغانستان ينتحروا  [MASK]   من بطش سلطات بلدهم,خوف,الخوف,Fear,بطش سلطات بلدهم
524, كان بكاء الرجل  [MASK]   على رجل الفتى التي فقدها للأبد,حزن,الحزن,Sadness,رجل الفتى التي فقدها للأبد
525, كان حجزي لاربعة اشخاص لكن  [MASK]   بصغر حجم الغرفة كما انها مصممة لسريرين فقط,فاجأ,المفاجأة,Surprise,صغر حجم الغرفة
526, كان خارجا مع غسان إلى أحد الأسواق، ورأى كيف  [MASK]   الناس بسرعة بسبب الحرب,غضب,الغضب,Anger,الحرب
527, كان رسول الله لا  [MASK]   الا لتجاوز حدود لله,غضب,الغضب,Anger,تجاوز حدود لله
528, كان سلوك الموظف عدواني وغير محترم  وكلامه اشعرني ب  [MASK]   جدا,التقزز,الاشمئزاز,Disgust, سلوك الموظف عدواني وغير محترم
529, كان شعوري ب [MASK]   أكثر من رغبتي بالتقاط الصور لكم  عند رؤية هذه القمامة,اشمئزاز,الاشمئزاز,Disgust,القمامة
530, كان عادلا وقائدا مشرفا  [MASK]   منه الخنزير الطاغية نابليون,خاف,الخوف,Fear, عادلا وقائدا مشرفا
531, كان كائن  [MASK]   لانه يتخفى بقذارته ويخرج منها مشيرا لقذارة الآخرين يقول الراوي,قزز,الاشمئزاز,Disgust,يتخفى بقذارته
532, كان كيردكين  [MASK]   متجهمًا لفقدانه,غضب,الغضب,Anger,فقدانه
533, كان مشهد التعذيب والوحشية في الفلم يثير في نفسي  [MASK]   لا حدود له,الاشمئزاز,الاشمئزاز,Disgust,مشهد التعذيب والوحشية
534, كان منظر القمامة المتراكمة في الشوارع مثير  ل [MASK]  ,الاشمئزاز,الاشمئزاز,Disgust,القمامة المتراكمة في الشوارع
535, كانت  [MASK]   فكرة التعميد، تسري في جسدي رعشة بمجرد أن ألمح كلمة كلب,رعب,الخوف,Fear,كلمة كلب
536, كانت الرحلة مريحة [MASK]   استمتع بها جميع أفراد الأسرة,سعيد,الفرح,Joy,الرحلة مريحة
537, كانت اوبرا تنزف فيها جميع الآلات الموسيقية  [MASK]   على الدماء العربية التي سكبت,حزن,الحزن,Sadness,الدماء العربية التي سكبت
538, كانت تحافظ على كرامتها  فيستشيظ  [MASK]   حيث أن رفضها لأمواله بدا كأنه رفض نهائي له شخصيا,غضب,الغضب,Anger,رفضها لأمواله
539, كانت تعاني من انفصام في الشخصية من شدة الاكتئاب، أعرف أنني  [MASK]   معها,حزن,الحزن,Sadness,تعاني من انفصام في الشخصية
540, كانت عائشة  [MASK]   لأن زوجها عدنان قد انقذها من موتها الأول,سعيد,الفرح,Joy,زوجها عدنان قد انقذها من موتها
541, كانت فترة زمنيه تحاشوا الأنغماس بها  [MASK]   من اضطراب الليل والأصطدام بواقعه,خوف,الخوف,Fear,اضطراب الليل والأصطدام بواقعه
542, كانوا  [MASK]   لما يشوفنى اكتب المعارضه على القهوة,خاف,الخوف,Fear,يشوفنى اكتب المعارضه
543, كتاب [MASK]  للغاية سرد بعض المواقف السياسية والتاريخية المؤلمة لكوريا الشمالية,حزين,الحزن,Sadness,المواقف السياسية والتاريخية المؤلمة
544, كتاب جميل  [MASK]   ..والأهم حفر بعقلى دروسا لن أنساها,سعد,الفرح,Joy,حفر بعقلى دروسا لن أنساها
545, كتاب خفيف اشعرني بكمية كبيرة من التفائل و [MASK] ,سعادة,الفرح,Joy,كتاب خفيف
546, كتابة رواية ... إن لم يكن بفن و رقي فلا داع له ...  [MASK]   عليه لانها بهذا المستوى,حزن,الحزن,Sadness,لم يكن بفن و رقي
547, كثير من احداث الفلم بلا فايدة هي موضع  [MASK]   فقد صدق من قال شر البلية ما يضحك,اشمئزاز,الاشمئزاز,Disgust,كثير من احداث الفلم بلا فايدة
548, كدت أن أمشي على دودة ثم رأيتها تزحف قريبا مني شعرت ب [MASK] ,التقزز,الاشمئزاز,Disgust,كدت أن أمشي على دودة
549, كل عام و حياتي تحتويك يا امي كل عام وانتي [MASK] ,فرح,الفرح,Joy,حياتي تحتويك يا امي
550, كل فصل كنت  [MASK]   جدا على حال مشاري و عن الأشياء المؤلمة التي عايشها,حزن,الحزن,Sadness,الأشياء المؤلمة التي عايشها
551, كل مافي الامر شعرت أن هناك طاقة سلبية  [MASK]   وأخرجتها بهذا الشكل السيء,غضب,الغضب,Anger,شعرت أن هناك طاقة سلبية
552, كل هذا  [MASK]   جاء بعد الوصف المرير لاسباب انهيار المفاعل وكيف كانت الحياة بعده,حزن,الحزن,Sadness,اسباب انهيار المفاعل
553, كل هذه الثورة،  [MASK]  ، الموت، الغبار، وعدمية الأشياء .. يخضعها فيصل الحبيني في كائن يمرح في العدم,غضب,الغضب,Anger,لموت، الغبار، وعدمية الأشياء
554, كلنا  [MASK]   من فكرة الموت ... الذي يزيد عدده في كل مرة,خاف,الخوف,Fear,فكرة الموت
555, كم  [MASK]   الكآبة اللانهائية حد القتل,أغاظ,الغضب,Anger,الكآبة اللانهائية
556, كم  [MASK]   لغباءها تمنت أن تنشق الأرض وتبتلعها,حزن,الحزن,Sadness,لغباءها
557, كم  [MASK]   من عذاب الحب,خاف,الخوف,Fear,عذاب الحب
558, كم  [MASK]   و تاثرت بأسلام كل شخصية فى الرواية كأنهم أمامي و يعيشون معي,فرح,الفرح,Joy,أسلام كل شخصية فى الرواية
559, كم  [MASK]   وقوع مذكراتي وخواطري في يد أحد,رعب,الخوف,Fear,وقوع مذكراتي وخواطري في يد أحد
560, كم  [MASK]  نى استغفاره لمعاوية بعد كله ما سرده من موبيقاته,حزن,الحزن,Sadness,استغفاره لمعاوية
561, كم  [MASK]  نى ان ارى احدهم ممتن حتى ولو كان ذلك على صفحات رواية,سعد,الفرح,Joy,ان ارى احدهم ممتن
562, كم  [MASK]  ني تصوير الشاب السعودي الذكي بزير النساء,غضب,الغضب,Anger,تصوير الشاب السعودي الذكي بزير النساء
563, كم  [MASK]  ني قصة الهاوية و الضحية لأنني لم أحب الاعادة و التكرار في قصص الحب و الوله المبالغ فيه,حزن,الحزن,Sadness,قصة الهاوية و الضحية
564, كم  [MASK]  ني كلامه عن الله و الأنبياء و الملائكة,غضب,الغضب,Anger,كلامه عن الله و الأنبياء و الملائكة
565, كم  [MASK]  ني معرفت بعض ما يعانيه معتنقي و معتنقات الإسلام في أمريكا من أخوانهم المسلمين,حزن,الحزن,Sadness,ما يعانيه معتنقي و معتنقات الإسلام في أمريكا
566, كم  [MASK]  ه ورفع من معنوياته فكرة أنه شخص عادي وأن حياته عادية,سعد,الفرح,Joy,شخص عادي وأن حياته عادية
567, كم أشعر ب [MASK]   من مثل هذه الكتابات. النقد هو المسيطر على أفكارك أهذه هي الحياة من وجهة نظرك؟,قزز,الاشمئزاز,Disgust,النقد هو المسيطر على أفكارك
568, كم اشعر ب [MASK]   مني حين أسكت و قلبي مملوء كلام,خوف,الخوف,Fear,حين أسكت و قلبي مملوء كلام
569, كم التعذيب والوحشية في الفلم  يثير في النفس  [MASK]   لا حدود له,التقزز,الاشمئزاز,Disgust,التعذيب والوحشية
570, كمية  [MASK]   الذي شعرت بها بدأت منذ بداية الرواية التي اتخذت من جو مصر في الاربعينات ملعبا,قزز,الاشمئزاز,Disgust,اتخذت من جو مصر في الاربعينات ملعبا
571, كمية الإهمال في الفندق اثارت في نفسي شعور  [MASK]  ,الاشمئزاز,الاشمئزاز,Disgust,الإهمال في الفندق
572, كمية الإهمال في المستشفى  وصلت حد  [MASK]  ,القرف,الاشمئزاز,Disgust,الإهمال في المستشفى
573, كنا  [MASK]   لأننا قضينا ساعات فقط هناك فالغرف صغيرة جدا,فرح,الفرح,Joy,قضينا ساعات فقط هناك فالغرف صغيرة جدا
574, كنا نركز  [MASK]  نا على شخص ملحد .. حتى نأخذ بيده إلى طريق الهداية,غضب,الغضب,Anger,شخص ملحد
575, كنت  [MASK]   اننا حجزنا فقط لمدة ليلتين وكنت مسرورا للإنتقال,سعيد,الفرح,Joy,الإنتقال
576, كنت  [MASK]   بسبب النهاية. مؤلم موت أحمد و نازلى,حزين,الحزن,Sadness,موت أحمد و نازلى
577, كنت  [MASK]   لأنني حافظت على عدد الأبيات والقافية الأخيرة,سرور,الفرح,Joy,حافظت على عدد الأبيات والقافية
578, كنت  [MASK]   و تسارعت التنفس عندما علمت اني تعرضت للخيانة من قبل شخص قريب,هائج,الغضب,Anger,تعرضت للخيانة من قبل شخص قريب
579, كنت  [MASK]   وشعرت بالحاجة الملحة للتصرف والتحرك عندما شاهدت الاعتداء على الأبرياء,هائج,الغضب,Anger,الاعتداء على الأبرياء
580, كنت أقرأ الاحداث ثم  [MASK]   أتي مقطع خارج عن الرواية لا أعرف من اين,فجأة,المفاجأة,Surprise,أتي مقطع خارج عن الرواية
581, كنت اتململ  [MASK]   باني لم اخد كتابا من مكتبتي,ساخط,الغضب,Anger,لم اخد كتابا من مكتبتي
582, كنت في حضنها  [MASK]   بكل هذا اللا كلام وكأنها الإنسان الوحيد الذي يفهمني,سعيد,الفرح,Joy,كنت في حضنها
583, كنت مت [MASK]   بشدة من أن أقرأ كاتبا ساخرا من الأربعينيات أو ما قبلها,خوف,الخوف,Fear,أقرأ كاتبا ساخرا من الأربعينيات
584, كون البطلة تنغمس في العلاقات المشبوهة اصابني ب [MASK]  ,قزز ,الاشمئزاز,Disgust,البطلة تنغمس في العلاقات المشبوهة
585, كونك صغيرا يجعل الآخرين  [MASK]   عليكيا بني,خاف,الخوف,Fear,كونك صغيرا
586, لأنه لا يساعد على التقدم أبدا، واصلت تصريحاتي لتثير [MASK]  ,غضب,الغضب,Anger,لا يساعد على التقدم أبدا
587, لأني أحبك عاد الجنون يسكنني و  [MASK]   يشتعل في قارات روحي المنطفئة,فرح,الفرح,Joy,أحبك
588, لا تظلموا الموتى وان طال المدى إني  [MASK]   عليكم أن تلتقوا,خاف,الخوف,Fear,تظلموا الموتى
589, لا تقم في الفندق: وقاحة الموظفين، بما في ذلك ما يسمى بالإدارة غرفة النوم كل شيء  [MASK]  ,قزز,الاشمئزاز,Disgust,قاحة الموظفين
590, لا حجج، لا كلام عقلي وبرهنة فلسفية. فقط سخرية وتهكم [MASK]  عند رمي التهم.,غضب,الغضب,Anger,فقط سخرية وتهكم
591, لا يمكن الاقتراب منه لأنه مدجج بربع قرن من المأساة و [MASK]   والانفجار.. إرهابي؟,غضب,الغضب,Anger,مدجج بربع قرن من المأساة
592, لاننا تربينا هكذا مدللون خاملون  [MASK]   ان بدات متاريس عقولنا بالتحرك,خاف,الخوف,Fear,تربينا هكذا مدللون خاملون
593, لانه  [MASK]  ي من تضييع وقتي قررت الانتقام,غيظ,الغضب,Anger,تضييع وقتي
594, لايوجد اي خدمات او تجاوب بالفندق كل شي داخل الغرفة ودورة المياة مستهلك بشكل  [MASK] ,قزز,الاشمئزاز,Disgust,لايوجد اي خدمات او تجاوب بالفندق
595, لديك بصيرة لكنك  [MASK]   الايمان بها ربما تسببت لك فى الألم,خاف,الخوف,Fear,تسببت لك فى الألم
596, لديه نزعة نفسية  [MASK]   تلتهب بين السطور حتى اثرت في اصداره للاحكام فتراه يرمي التهم بغير دليل,غاضب,الغضب,Anger,يرمي التهم بغير دليل
597, لذة كسر كل التابوهات جعلتها تشعر ب [MASK]  ,سعادة,الفرح,Joy,لذة كسر كل التابوهات
598, لطالما أردت أن أستكشفها من الداخل لكن  [MASK]   من الظلام يمنعني,خوف,الخوف,Fear,من الظلام
599, لقد  [MASK]   أن يتم رفع قضية تعويض عليه,خاف,الخوف,Fear,رفع قضية تعويض عليه
600, لقد  [MASK]   الملك ليلًا ونهارًا على ضياع ابنته,حزن,الحزن,Sadness,ضياع ابنته
601, لقد  [MASK]   بوجوده في نفس المكان الذي التقينا فيه أول مرة,فاجأ,المفاجأة,Surprise,وجوده في نفس المكان
602, لقد  [MASK]   ما اصاب علاء لأنه وقع شهيد عشقه,حزن,الحزن,Sadness,وقع شهيد عشقه
603, لقد أعجب ابنة اختي ذات الثلاثة عشر ربيعا وهذا  [MASK]  ني,سعد,الفرح,Joy,أعجب ابنة اختي
604, لقد وصلت بى هذه الرواية إلى مرتبة  [MASK]   من الظلام,خوف,الخوف,Fear,الظلام
605, لكنني أعيب علي المرحلة المهمة في كتابتها و هي تصنيفها ، الشئ الذي طالما  [MASK]  ني من بعض الكتاب المعاصرين,غضب,الغضب,Anger,تصنيفها
606, للأمانة هناك مقاطع في الفلم لم تعجبتني ، بالعكس  [MASK]   كثيرا ,غضب,الغضب,Anger,مقاطع في الفلم لم تعجبتني
607, للكويت صوت وروح ولكنها كسائر البلاد العربيه تخنقك ثم تأخذك للأعلى و [MASK]   تصفعك,فجأة,المفاجأة,Surprise,تخنقك ثم تأخذك للأعلى
608, لله الأمر من قبل ومن بعد ويومئذ  [MASK]   المؤمنون بنصر الله,فرح,الفرح,Joy,نصر الله
609, لم أستفد من الرواية شيئا يذكر، هذا سبب  [MASK]  ,سخط,الغضب,Anger,لم أستفد من الرواية شيئا يذكر
610, لم استرجع نفسي الا خلال المحادثات انذاك فقط شعرت ب [MASK]   انني اقرأ هذا العمل,سعادة,الفرح,Joy,استرجع نفسي
611, لم اكن اتوقع كل هذا العداء لكل ما يحيط به فأي حياة تلك التي كان يحياها  [MASK]  ,ساخط,الغضب,Anger,العداء لكل ما يحيط به
612, لم لا تستشعرين النعم بقدر استشعارك الذنب و [MASK]   و الرغبة في الانتقام....؟,غضب,الغضب,Anger,الرغبة في الانتقام
613,  لم نختر الفندق وقد كنا مترددين لكن كان هنالك [MASK]   سارة لدى وصولنا لقد كان جيد جدا عكس ما ذكر,فاجأ,المفاجأة,Surprise,كان جيد جدا عكس ما ذكر
614, لم يعد يرفع راية السلام فقد كشف النقاب عن حقيقته [MASK] ,فجأة,المفاجأة,Surprise,كشف النقاب عن حقيقته
615, لم يكن الكاتب بالحاجة إلى تلك البذاءة ال [MASK]   التي تنفر القارئ من إكمال الرواية,قزز,الاشمئزاز,Disgust,البذاءة
616, لماذا علي أن  [MASK]  .. لكن ذلك المشهد يتكرر كثيرا جدا؟,غضب,الغضب,Anger,المشهد يتكرر كثيرا جدا
617,  يصل الحال برئيس الاركان الي هذه الحاله من  [MASK]  مخالفة الجنو د لاوامره,غضب,الغضب,Anger,مخالفة الجنو د لاوامره
618, لو أستطعت عبور هذا الظلام سأكون  [MASK]   بتلك الأحداث التي عايشتها,سعيد,الفرح,Joy,الأحداث التي عايشتها
619, لو كانت تلك قرائتى الاولى للكاتب .. لكنت استشطت [MASK]  .. لا يرقى الى المستوى المطلوب,غضب,الغضب,Anger,لا يرقى الى المستوى المطلوب
620, لولا  [MASK]   الذي تلبسني و رغبتي في قراءة أي شي بعد هذا الجدال .. لبقيت على حالها,غضب,الغضب,Anger,الجدال
621, ليس لدي تفسير لهذا  [MASK]   الصغير الذي أستشعره بعد أن أنهيت هذه الرواية الغريبة,حزن,الحزن,Sadness,الرواية الغريبة
622, ليلى  [MASK]  ني بحقيقة الوصول للأربعين دون إجابات لكل الأسئلة,فزع,الخوف,Fear,الوصول للأربعين دون إجابات لكل الأسئلة
623, ليلي  [MASK]   كثيرًا لفكرة أنها سترى أبيها مرة أخرى,ابتهجت,الفرح,Joy,سترى أبيها مرة أخرى
624, ما  [MASK]   أن فصاحة لسانه لم تنجب رواية عظيمة كما ينبغي لها أن تفعل,حزن,الحزن,Sadness,فصاحة لسانه لم تنجب رواية عظيمة
625, ما  [MASK]  ني أن كتاب كهذا رشح لجائزة رفيعة كالبوكر هل هذا أقصى ما نستطيع توقعه من الكتاب العرب؟,غضب,الغضب,Anger,كتاب كهذا رشح لجائزة رفيعة كالبوكر
626, ما  [MASK]  ني أنني أقرأ لمجرد الرغبة في التخلص من ما هو أمامي حتى لا تلاحقني روحه,حزن,الحزن,Sadness,تلاحقني روحه
627, ما  [MASK]  ني حقا هو إنه عندما سألته، كان كل ما وجدته هو شخص يصرخ في عبر الهاتف,غضب,الغضب,Anger,شخص يصرخ في عبر الهاتف
628, ما  [MASK]  ني وبشدة قلة معرفتها بالدين الإسلامي وبأن الله ينصر كل مظلوم ويأخذ له حقه,حزن,الحزن,Sadness,قلة معرفتها بالدين الإسلامي
629, ما أثار  [MASK]   ذكرها كيف يمنطق اليهود قضيتهم و كيف يسوقون كل جرائمهم للعالم,اشمئزاز,الاشمئزاز,Disgust,يسوقون كل جرائمهم للعالم
630, ما أثار  [MASK]  ي هو تعدد الشخصيات مع انها كلها صدى لبعضها وانعكاس لنفس القالب التافه,اشمئزاز,الاشمئزاز,Disgust,تعدد الشخصيات
631, ما أن تبدأ بالتقاط بعض التفاصيل عن الأشخاص والأمكنة حتى  [MASK]   بالتغيير الكلي للأحداث,فاجأ,المفاجأة,Surprise,التغيير الكلي للأحداث
632, ما زلت يا أمي  [MASK]   الوحدة و أن يستل سيفا في الظلام,خاف,الخوف,Fear,أن يستل سيفا في الظلام
633, ما يوجد في الرواية ليس رعبا وإنما بعض  [MASK]    و الكثير من الدم,اشمئزاز,الاشمئزاز,Disgust,الكثير من الدم
634, مجرد فكرة ربط حالة العشق بخيانة ما تثير  [MASK]   ولا يقبلها عقلي,اشمئزاز,الاشمئزاز,Disgust,ربط حالة العشق بخيانة
635, محمد ربيع عاد ل [MASK]  نا من خلال فصل جديد بعنوان مختلف لصخر الخزرجي,فاجأ,المفاجأة,Surprise,فصل جديد بعنوان مختلف
636, محمد عبده  [MASK]   في جلسة خاصة بسبب تعدد طلبات مستضيفيه,غضب,الغضب,Anger,تعدد طلبات مستضيفيه
637, محمود تيمور في مقدمته ظل يؤجل قراءة هذا الكتاب من  [MASK]   من حجمه الكبير,خوف,الخوف,Fear,حجمه الكبير
638, مخرج الفيلم استطاع ان يبث  [MASK]   للمشاهدين من خلال التصميم المتقن للمشاهد,خوف,الخوف,Fear,التصميم المتقن للمشاهد
639, مدينة مغلقة مظلمة.  [MASK]   أن يزورها ضوء قمر,خاف,الخوف,Fear,مغلقة مظلمة
640, مزاج الرواية  [MASK]   جدا، فحتى العدد القليل من المشاهد ممزوج بالألم,حزين,الحزن,Sadness,العدد القليل من المشاهد ممزوج بالألم
641, مع كل جزء تقرأه تصب جام  [MASK]  ك على أحدهم من خلال تصرفه المخالف,غضب,الغضب,Anger,تصرفه المخالف
642, مقالات هذا الكتاب عن الحروب البيولوجية  [MASK]  ,رعب,الخوف,Fear,الحروب البيولوجية
643, ممتنة و [MASK]   ، لأنها أبكتني لاني امكلك جنون استثنائي,سعيد,الفرح,Joy,امكلك جنون استثنائي
644, من  [MASK]   أن تتذمر النساء بهذا الشكل وتقطع الرجاء من الرجال,حزن,الحزن,Sadness,تقطع الرجاء من الرجال
645, من  [MASK]   على نفسه من عدوى الألم فلا يقرأه,خاف,الخوف,Fear,عدوى الألم
646, من أين تأتيها القوة لمحاولة قتل ريم من الحقد و  [MASK]  الذي يملأها,غضب,الغضب,Anger,محاولة قتل ريم
647, من أين ياتي كل هذا  [MASK]  ؟ لماذا لم نشعر بوجود الموت المتربص دائما,حزن,الحزن,Sadness,الموت
648, من منا لم تنتفخ أوداجه احمرارا من  [MASK]   وينتفض قلبه نبضا بسبب تلك الجريمة ,غضب,الغضب,Anger,الجريمة
649, مناشف الشاطيء و حمام السباحة كانت متسخة و  [MASK]  ,قزز,الاشمئزاز,Disgust,مناشف الشاطيء و حمام السباحة كانت متسخة
650, نتج  [MASK]   تجاه هذا الكتاب من تجاهله للقضايا البيئية والتهديدات التي تواجه الارض و السكان,حنق,الغضب,Anger,مناشف الشاطيء و حمام السباحة كانت متسخة
651, نتقلب  [MASK]   و ألما وكأننا ذبائح على النار مع كل قصة وكل اعتراف وكل جريمة,رعب,الخوف,Fear,كل اعتراف وكل جريمة
652, نحس أن الأشياء أرواحا  [MASK]   إذا أبعدوها عن أصحابها,حزن,الحزن,Sadness,أبعدوها عن أصحابها
653, نحن  [MASK]  غالبا لأننا لا نملك أجوبة لأسئلتنا المستعصية,حزن,الحزن,Sadness,لا نملك أجوبة لأسئلتنا المستعصية
654, نحن  [MASK]   هناك، بعيدا عن العراق بعيدا عن الموت والمفخخات,سعيد,الفرح,Joy,بعيدا عن الموت والمفخخات
655, نحن الآن نتكلم لغة أجدادنا بكل حرية و نقلد لباسهم و طريقة عيشهم بكل رضى و  [MASK] ,سرور,الفرح,Joy,نتكلم لغة أجدادنا بكل حرية
656, نساء الكرنتينا يولد انتقاما واحدا  [MASK]  ، يتكرر ويستعاد ويثقل بالحكايات الماضية من عائلة إلى عائلة,غضب,الغضب,Anger,يولد انتقاما واحدا
657, نصف ساعة استاذان يوميا ت [MASK]   موظفي امانة المدينة,غضب,الغضب,Anger,نصف ساعة استاذان يوميا
658, نظرات  [MASK]   لاتفارق وجهي ففي كل سطر حوالي عشرات الكلمات التي تدل على كلمة فاسق,قزز,الاشمئزاز,Disgust,عشرات الكلمات التي تدل على كلمة فاسق
659, نهاية الحاج  [MASK]  ني جدا لأن قسوة نازك عليه مؤلمة جدا,حزن,الحزن,Sadness,قسوة نازك عليه مؤلمة جدا
660, نهاية الرواية جاءت  [MASK]   لي،كانت تمشي بوتيرة هادئة ثم تأتي النهاية البوليسية و المأساوية,مفاجئة,المفاجأة,Surprise,كانت تمشي بوتيرة هادئة ثم تأتي النهاية البوليسية
661, نور فضلت أن يستغلها الكثيرون سنين طويلة  [MASK]   من الفقر,خوف,الخوف,Fear,الفقر
662, هذا  [MASK]   على بيئته أدى به لاعتزال من حوله وجر عليه مشاكل مزعجة أفقدته صوابه,حنق,الغضب,Anger,بيئته
663, هذا العمل  [MASK]   بنهاية على غير مستوى البداية اطلاقا,فاجأ,المفاجأة,Surprise,نهاية على غير مستوى البداية اطلاقا
664, هذا الفصل منحط و [MASK]   جدا غير مقنع أبدا كان مجرد حشو للورق وزيادة في الإباحية,قزز,الاشمئزاز,Disgust,مجرد حشو للورق وزيادة في الإباحية
665, هذا الكتاب  [MASK]  ني فقد اجتاحتني القشعريرة و انتابني المغص عند قراءته,رعب,الخوف,Fear, انتابني المغص عند قراءته
666, هذا الكم من الجو الماسوني أثار  [MASK]  ي,غيظ,الغضب,Anger,الجو الماسوني
667, هذا المكان ال [MASK]   في منتهى السوء والقذارة,قزز,الاشمئزاز,Disgust,السوء والقذارة
668, هذا الوجه الغليظ بعث  [MASK]   فى صدور الناس وجعل أسنانهم تصطك لمجرد الإتيان على ذكره,رعب,الخوف,Fear,الوجه الغليظ
